1,boat,boat.sigml
2,borrow,borrow.sigml
3,that,that.sigml
4,himself,himself.sigml
5,paranoid,paranoid.sigml
6,tailor,tailor.sigml
7,vomit,vomit.sigml
8,achakan,achakan.sigml
9,five,five.sigml
10,ticket,ticket.sigml
11,hold,hold.sigml
12,tie,tie.sigml
13,late,late.sigml
14,nineteen,nineteen.sigml
15,tamil,tamil.sigml
16,friday,friday.sigml
17,none,none.sigml
18,clerk,clerk.sigml
19,chess,chess.sigml
20,form,form.sigml
21,become,become.sigml
22,allover,allover.sigml
23,travel,travel.sigml
24,few,few.sigml
25,educationalterms,educationalterms.sigml
26,weaver,weaver.sigml
27,tree,tree.sigml
28,book,book.sigml
29,yellow,yellow.sigml
30,far,far.sigml
31,assam,assam.sigml
32,lead,lead.sigml
33,sixoclock,sixoclock.sigml
34,cook,cook.sigml
35,bring,bring.sigml
36,actress,actress.sigml
37,f,F.sigml
38,yesterday,yesterday.sigml
39,open,open.sigml
40,save,save.sigml
41,catch,catch.sigml
42,draw,draw.sigml
43,worry,worry.sigml
44,man,man.sigml
45,down,down.sigml
46,9,9.sigml
47,want,want.sigml
48,eightoclock,eightoclock.sigml
49,yournamewhat,yournamewhat.sigml
50,very,very.sigml
51,zoo,zoo.sigml
52,bake,bake.sigml
53,different,different.sigml
54,jug,jug.sigml
55,switzerland,switzerland.sigml
56,100,100.sigml
57,go,go.sigml
58,north-pole,north-pole.sigml
59,you,you.sigml
60,go-with-you,go-with-you.sigml
61,near,near.sigml
62,jain,jain.sigml
63,easy,easy.sigml
64,best,best.sigml
65,associate,associate.sigml
66,who,who.sigml
67,australia,australia.sigml
68,allow,allow.sigml
69,count,count.sigml
70,tub,tub.sigml
71,visit,visit.sigml
72,onehundred,onehundred.sigml
73,build,build.sigml
74,our,our.sigml
75,thirsty,thirsty.sigml
76,stubborn,stubborn.sigml
77,give-me,give-me.sigml
78,click,click.sigml
79,namewhat,namewhat.sigml
80,appear,appear.sigml
81,d,D.sigml
82,weewee,weewee.sigml
83,taste,taste.sigml
84,fly,fly.sigml
85,this,this.sigml
86,before,before.sigml
87,line,line.sigml
88,tighten,tighten.sigml
89,onerupee,onerupee.sigml
90,youhowold,youhowold.sigml
91,chilly,chilly.sigml
92,allah,allah.sigml
93,infrontof,infrontof.sigml
94,scotland,scotland.sigml
95,area,area.sigml
96,2months,2months.sigml
97,wrestling,wrestling.sigml
98,urdu,urdu.sigml
99,trophy,trophy.sigml
100,exam,exam.sigml
101,stupid,stupid.sigml
102,february,february.sigml
103,class,class.sigml
104,essay,essay.sigml
105,advice,advice.sigml
106,koli,koli.sigml
107,council,council.sigml
108,youfillinwipe-off,youfillinwipe-off.sigml
109,bag,bag.sigml
110,threeoclock,threeoclock.sigml
111,livewhere,livewhere.sigml
112,parts,parts.sigml
113,iv,Iv.sigml
114,quarterpast,quarterpast.sigml
115,repeat,repeat.sigml
116,boil,boil.sigml
117,sixhundred,sixhundred.sigml
118,bench,bench.sigml
119,name,name.sigml
120,olympics,olympics.sigml
121,electricity,electricity.sigml
122,crash,crash.sigml
123,index,index.html
124,ninehundred,ninehundred.sigml
125,jump,jump.sigml
126,write,write.sigml
127,screen,screen.sigml
128,mistake,mistake.sigml
129,water-bottle,water-bottle.sigml
130,fiveoclock,fiveoclock.sigml
131,asia,asia.sigml
132,11,11.sigml
133,research,research.sigml
134,accuse,accuse.sigml
135,check,check.sigml
136,quick,quick.sigml
137,manner,manner.sigml
138,la,la.sigml
139,old,old.sigml
140,christian,christian.sigml
141,yourself,yourself.sigml
142,spelling,spelling.sigml
143,relate,relate.sigml
144,these,these.sigml
145,seven,seven.sigml
146,internet,internet.sigml
147,blow,blow.sigml
148,us,us.sigml
149,jealous,jealous.sigml
150,litter,litter.sigml
151,money,money.sigml
152,new,new.sigml
153,fat,fat.sigml
154,carrom,carrom.sigml
155,bye,bye.sigml
156,read,read.sigml
157,tight,tight.sigml
158,out,out.sigml
159,temple,temple.sigml
160,age,age.sigml
161,b,B.sigml
162,avoid,avoid.sigml
163,carrot,carrot.sigml
164,cycle,cycle.sigml
165,cloud,cloud.sigml
166,y,Y.sigml
167,examine,examine.sigml
168,teeth,teeth.sigml
169,on,on.sigml
170,buddha,buddha.sigml
171,thursday,thursday.sigml
172,detail,detail.sigml
173,nice,nice.sigml
174,13,13.sigml
175,grey,grey.sigml
176,quarterto,quarterto.sigml
177,twohundred,twohundred.sigml
178,phone,phone.sigml
179,email,email.sigml
180,important,important.sigml
181,climbdown,climbdown.sigml
182,key,key.sigml
183,maybe,maybe.sigml
184,farmer,farmer.sigml
185,discuss,discuss.sigml
186,organise,organise.sigml
187,worst,worst.sigml
188,trade-equipment,trade-equipment.sigml
189,then,then.sigml
190,interpreter,interpreter.sigml
191,list,list.sigml
192,cobbler,cobbler.sigml
193,soft,soft.sigml
194,west,west.sigml
195,forever,forever.sigml
